id,image_name,captured_at,sequence,lat,long,orientation,c_lat,c_long
2,IMG_1533.JPG,2024:10:25 17:45:05,custom,52.091225,5.120108333333333,345.6175078864353,52.09124211820032,5.120181438575621
3,IMG_1536.JPG,2024:10:25 17:45:11,custom,52.09121944444445,5.120080555555555,347.874755859375,52.09124211820032,5.120181438575621
4,IMG_1537.JPG,2024:10:25 17:47:28,custom,52.09126388888889,5.1199916666666665,352.9664305512781,52.09124211820032,5.120181438575621
5,IMG_1535.JPG,2024:10:25 17:45:08,custom,52.09121944444445,5.120094444444444,344.76829533116177,52.09124211820032,5.120181438575621
6,IMG_1534.JPG,2024:10:25 17:45:07,custom,52.091225,5.1201,349.3380129589633,52.09124211820032,5.120181438575621
7,IMG_1584.JPG,2024:10:25 18:06:23,custom,52.09187222222222,5.119027777777777,302.82330345710625,52.09186865280266,5.119055402551572
8,IMG_1590.JPG,2024:10:25 18:08:47,custom,52.0918,5.118630555555555,247.92333984375,52.091818536510274,5.118643307088879
9,IMG_1547.JPG,2024:10:25 17:51:04,custom,52.09135833333334,5.119780555555555,251.820510853724,52.09145378156313,5.119650182401067
10,IMG_1553.JPG,2024:10:25 17:55:50,custom,52.090725,5.120225,341.27775551102206,52.090786453607016,5.120422837388419
11,IMG_1552.JPG,2024:10:25 17:55:49,custom,52.090725,5.120216666666666,342.6037139470565,52.090786453607016,5.120422837388419
12,IMG_1546.JPG,2024:10:25 17:50:57,custom,52.09135555555556,5.1197888888888885,249.05456539621608,52.09145378156313,5.119650182401067
13,IMG_1591.JPG,2024:10:25 18:08:48,custom,52.09180555555556,5.118627777777777,250.35443115234375,52.091818536510274,5.118643307088879
14,IMG_1585.JPG,2024:10:25 18:06:24,custom,52.09187222222222,5.119027777777777,302.79823304680036,52.09186865280266,5.119055402551572
15,IMG_1593.JPG,2024:10:25 18:12:27,custom,52.09193055555556,5.11733611111111,210.8361663652803,52.09192647667911,5.11734847068606
16,IMG_1587.JPG,2024:10:25 18:08:19,custom,52.09178055555556,5.118669444444444,255.0773313115997,52.091818536510274,5.118643307088879
17,IMG_1578.JPG,2024:10:25 18:04:47,custom,52.09170833333334,5.119263888888889,140.5751953125,52.09145378156313,5.119650182401067
18,IMG_1550.JPG,2024:10:25 17:55:06,custom,52.09075833333333,5.120286111111111,337.47624190064795,52.090786453607016,5.120422837388419
19,IMG_1544.JPG,2024:10:25 17:50:37,custom,52.09135833333334,5.119797222222222,255.7892761394102,52.09145378156313,5.119650182401067
20,IMG_1545.JPG,2024:10:25 17:50:40,custom,52.09135833333334,5.119797222222222,256.1511382304623,52.09145378156313,5.119650182401067
21,IMG_1551.JPG,2024:10:25 17:55:07,custom,52.09076944444445,5.120269444444444,338.59240687679085,52.090786453607016,5.120422837388419
22,IMG_1560 2.JPG,2024:10:25 17:58:20,custom,52.09090833333334,5.120172222222222,335.5148164528969,52.09096484726034,5.120400038611725
23,IMG_1586.JPG,2024:10:25 18:08:18,custom,52.09178055555556,5.118669444444444,253.98007196235815,52.091818536510274,5.118643307088879
24,IMG_1592.JPG,2024:10:25 18:12:22,custom,52.09193333333334,5.1173416666666665,208.0553435114504,52.09192647667911,5.11734847068606
25,IMG_1596.JPG,2024:10:25 18:12:31,custom,52.091927777777784,5.11733611111111,210.69999694684455,52.09192647667911,5.11734847068606
26,IMG_1582.JPG,2024:10:25 18:05:57,custom,52.091838888888894,5.119016666666666,300.11885067479324,52.09186865280266,5.119055402551572
27,IMG_1555.JPG,2024:10:25 17:56:00,custom,52.09070277777778,5.120127777777777,339.88755821689955,52.090786453607016,5.120422837388419
28,IMG_1541.JPG,2024:10:25 17:48:59,custom,52.09122777777778,5.119999999999999,318.1039124947413,52.09124211820032,5.120181438575621
29,IMG_1569.JPG,2024:10:25 18:01:18,custom,52.091275,5.119927777777777,308.13052345343306,52.09124211820032,5.120181438575621
30,IMG_1568.JPG,2024:10:25 18:01:16,custom,52.09128055555556,5.119919444444444,311.337890625,52.09145378156313,5.119650182401067
